product_id,product_name,category,brand,price,avg_rating,num_ratings,stock_quantity,discount_pct,is_featured,weight_kg
P0025,PureBrand Sports #25,Sports,PureBrand,46.47,4.5,233,124,0,0,1.67
P0026,PetLife Health #26,Health,PetLife,23.8,5.0,336,293,25,0,3.52
P0027,GlowUp Jewelry #27,Jewelry,GlowUp,89.93,3.3,308,810,25,0,0.43
P0028,SoundWave Office Supplies #28,Office Supplies,SoundWave,12.38,3.4,222,526,0,0,1.3
P0029,EcoLiving Electronics #29,Electronics,EcoLiving,193.58,2.9,476,703,40,0,1.49
P0030,ReadMore Clothing #30,Clothing,ReadMore,73.08,3.9,444,489,0,0,0.28
P0031,EcoLiving Automotive #31,Automotive,EcoLiving,43.54,4.7,392,487,15,0,0.53
P0032,ShineOn Office Supplies #32,Office Supplies,ShineOn,19.58,3.2,16,883,15,0,0.31
P0033,EcoLiving Beauty #33,Beauty,EcoLiving,40.46,3.0,261,546,0,0,0.33
P0034,DigiTools Office Supplies #34,Office Supplies,DigiTools,19.43,4.8,492,744,40,0,0.67
P0035,StyleMax Beauty #35,Beauty,StyleMax,60.26,3.4,73,976,25,0,0.5
P0036,ClassicCo Clothing #36,Clothing,ClassicCo,46.35,3.2,279,456,0,0,0.98
P0037,UrbanStyle Food & Grocery #37,Food & Grocery,UrbanStyle,14.6,3.6,31,765,50,0,1.87
P0038,HomeEssentials Clothing #38,Clothing,HomeEssentials,90.04,2.6,357,892,0,0,1.81
P0039,WorkSmart Beauty #39,Beauty,WorkSmart,38.89,3.1,243,989,0,0,2.2
P0040,ShineOn Food & Grocery #40,Food & Grocery,ShineOn,11.91,5.0,121,414,0,0,0.77
P0041,UrbanStyle Clothing #41,Clothing,UrbanStyle,36.32,4.4,33,113,0,0,0.6
P0042,SoundWave Jewelry #42,Jewelry,SoundWave,83.5,4.5,56,901,5,0,0.29
P0043,PlayTime Music #43,Music,PlayTime,21.4,4.3,490,396,0,0,2.01
P0044,DigiTools Clothing #44,Clothing,DigiTools,30.63,4.3,426,74,20,0,2.65
P0045,NovaTech Home & Garden #45,Home & Garden,NovaTech,116.05,3.7,252,248,0,0,3.5
P0046,WorkSmart Sports #46,Sports,WorkSmart,158.3,3.9,471,862,10,0,1.37
P0047,FitGear Health #47,Health,FitGear,35.22,4.1,80,326,0,0,0.63
P0048,AutoParts Electronics #48,Electronics,AutoParts,85.12,3.6,34,607,0,0,0.34
P0049,ReadMore Pet Supplies #49,Pet Supplies,ReadMore,36.92,4.8,116,967,40,0,0.26
P0050,WellBeing Automotive #50,Automotive,WellBeing,84.53,2.6,220,684,0,0,0.14
P0051,TechPro Books #51,Books,TechPro,20.98,3.5,113,553,0,0,2.8
P0052,StyleMax Food & Grocery #52,Food & Grocery,StyleMax,11.83,4.7,479,355,0,0,1.47
P0053,GlowUp Home & Garden #53,Home & Garden,GlowUp,96.65,4.8,256,833,0,0,10.34
P0054,FitGear Sports #54,Sports,FitGear,34.99,3.4,118,754,20,0,0.89
P0055,WorkSmart Music #55,Music,WorkSmart,22.23,4.0,220,9,0,0,1.06
P0056,EcoLiving Electronics #56,Electronics,EcoLiving,235.15,4.2,494,435,0,1,1.44
P0057,EcoLiving Electronics #57,Electronics,EcoLiving,245.22,5.0,313,522,20,0,1.82
P0058,GlowUp Food & Grocery #58,Food & Grocery,GlowUp,17.8,3.2,50,347,0,0,0.51
P0059,StyleMax Toys #59,Toys,StyleMax,39.72,4.0,200,956,40,0,0.96
P0060,TechPro Pet Supplies #60,Pet Supplies,TechPro,14.22,3.5,450,964,0,0,2.16
P0061,FitGear Clothing #61,Clothing,FitGear,67.2,5.0,337,341,0,0,4.91
P0062,UrbanStyle Office Supplies #62,Office Supplies,UrbanStyle,21.98,3.7,311,4,0,0,0.4
P0063,PetLife Toys #63,Toys,PetLife,22.74,3.3,188,494,0,0,1.22
P0064,StyleMax Office Supplies #64,Office Supplies,StyleMax,23.09,4.4,456,660,30,0,1.1
P0065,EcoLiving Home & Garden #65,Home & Garden,EcoLiving,67.75,3.4,153,299,0,0,0.76
P0066,FreshMarket Music #66,Music,FreshMarket,18.93,3.9,95,682,0,0,2.75
P0067,SoundWave Music #67,Music,SoundWave,7.47,4.3,20,711,20,0,9.78
P0068,SoundWave Office Supplies #68,Office Supplies,SoundWave,21.47,2.4,375,21,0,0,1.44
P0069,EcoLiving Sports #69,Sports,EcoLiving,45.31,3.1,397,8,0,1,0.46
P0070,PureBrand Sports #70,Sports,PureBrand,59.48,5.0,19,566,0,0,0.24
P0071,EcoLiving Pet Supplies #71,Pet Supplies,EcoLiving,24.36,4.0,251,570,30,0,0.93
P0072,FreshMarket Home & Garden #72,Home & Garden,FreshMarket,173.89,3.1,121,829,0,0,2.57
P0073,ReadMore Beauty #73,Beauty,ReadMore,27.18,3.9,99,111,10,0,0.81
P0074,SoundWave Clothing #74,Clothing,SoundWave,21.0,2.3,449,420,0,1,1.3
P0075,GlowUp Food & Grocery #75,Food & Grocery,GlowUp,11.43,3.9,229,452,30,0,7.06
P0076,StyleMax Toys #76,Toys,StyleMax,20.02,4.1,336,660,0,0,1.91
P0077,ClassicCo Health #77,Health,ClassicCo,38.84,3.7,164,504,0,1,1.06
P0078,AutoParts Jewelry #78,Jewelry,AutoParts,71.89,3.4,339,684,10,0,0.26
P0079,DigiTools Health #79,Health,DigiTools,48.06,5.0,107,407,0,0,2.24
P0080,TechPro Electronics #80,Electronics,TechPro,198.68,3.7,214,108,0,0,1.75
P0081,PureBrand Jewelry #81,Jewelry,PureBrand,107.45,2.5,332,50,0,0,2.28
P0082,DigiTools Books #82,Books,DigiTools,31.33,3.7,94,54,0,0,0.29
P0083,PureBrand Sports #83,Sports,PureBrand,51.72,4.9,232,557,0,0,0.97
P0084,PetLife Toys #84,Toys,PetLife,12.84,5.0,262,431,20,0,1.79
P0085,TechPro Food & Grocery #85,Food & Grocery,TechPro,9.44,1.6,215,250,0,0,0.23
P0086,FreshMarket Jewelry #86,Jewelry,FreshMarket,45.2,3.1,129,610,0,0,1.14
P0087,PetLife Jewelry #87,Jewelry,PetLife,67.02,3.7,234,441,0,0,2.96
P0088,EcoLiving Home & Garden #88,Home & Garden,EcoLiving,10.35,3.9,126,308,20,0,0.53
P0089,EcoLiving Sports #89,Sports,EcoLiving,76.05,2.9,326,90,10,0,2.88
P0090,ReadMore Food & Grocery #90,Food & Grocery,ReadMore,5.71,4.2,147,121,0,0,1.03
P0091,ShineOn Books #91,Books,ShineOn,21.51,4.5,399,163,20,0,1.1
P0092,NovaTech Sports #92,Sports,NovaTech,36.28,3.1,152,169,5,0,2.68
P0093,StyleMax Sports #93,Sports,StyleMax,43.67,3.8,231,615,50,0,0.51
P0094,FitGear Sports #94,Sports,FitGear,112.77,4.7,251,616,0,0,0.27
P0095,SoundWave Sports #95,Sports,SoundWave,42.76,5.0,271,993,0,0,0.77
P0096,PetLife Health #96,Health,PetLife,21.52,4.6,76,81,0,0,1.39
P0097,AutoParts Home & Garden #97,Home & Garden,AutoParts,46.71,3.4,322,981,0,1,1.42
P0098,EcoLiving Jewelry #98,Jewelry,EcoLiving,48.31,4.2,262,729,20,0,1.37
P0099,PetLife Home & Garden #99,Home & Garden,PetLife,91.76,3.8,87,114,0,0,0.48
P0100,TechPro Music #100,Music,TechPro,23.7,3.2,316,569,0,0,1.61
P0101,EcoLiving Electronics #101,Electronics,EcoLiving,172.1,4.4,385,579,5,0,0.9
P0102,WorkSmart Software #102,Software,WorkSmart,73.4,4.4,244,102,30,0,4.6
P0103,ReadMore Books #103,Books,ReadMore,20.23,3.8,16,903,0,0,2.43
P0104,WorkSmart Electronics #104,Electronics,WorkSmart,174.2,4.8,339,707,0,0,1.68
P0105,FreshMarket Music #105,Music,FreshMarket,20.33,3.6,118,399,0,1,0.83
P0106,AutoParts Clothing #106,Clothing,AutoParts,39.95,3.7,307,418,20,0,0.7
P0107,StyleMax Automotive #107,Automotive,StyleMax,57.5,4.2,492,804,0,0,0.8
P0108,ReadMore Pet Supplies #108,Pet Supplies,ReadMore,6.97,4.1,162,611,0,1,1.32
P0109,PetLife Sports #109,Sports,PetLife,43.28,3.1,312,142,10,0,2.66
P0110,PlayTime Music #110,Music,PlayTime,17.85,5.0,426,602,0,0,0.23
P0111,StyleMax Jewelry #111,Jewelry,StyleMax,44.6,4.3,210,985,0,1,0.61
P0112,GlowUp Electronics #112,Electronics,GlowUp,302.87,4.0,204,873,0,0,3.48
P0113,GlowUp Office Supplies #113,Office Supplies,GlowUp,17.76,3.8,368,643,0,0,0.57
P0114,ClassicCo Automotive #114,Automotive,ClassicCo,97.99,3.9,491,539,0,0,0.43
P0115,EcoLiving Home & Garden #115,Home & Garden,EcoLiving,68.27,5.0,195,617,0,1,2.91
P0116,DigiTools Jewelry #116,Jewelry,DigiTools,84.45,4.8,257,275,0,1,1.65
P0117,HomeEssentials Automotive #117,Automotive,HomeEssentials,59.46,4.5,180,581,0,0,1.25
P0118,GlowUp Office Supplies #118,Office Supplies,GlowUp,13.86,5.0,105,837,0,0,1.84
P0119,PlayTime Software #119,Software,PlayTime,21.18,4.3,375,902,0,0,0.75
P0120,WellBeing Health #120,Health,WellBeing,71.94,3.3,11,593,30,1,1.04
P0121,EcoLiving Clothing #121,Clothing,EcoLiving,52.35,4.6,233,308,0,1,1.1
P0122,ShineOn Pet Supplies #122,Pet Supplies,ShineOn,15.21,4.2,354,216,30,0,0.72
P0123,EcoLiving Software #123,Software,EcoLiving,65.51,5.0,235,213,10,0,0.72
P0124,ClassicCo Office Supplies #124,Office Supplies,ClassicCo,11.06,4.4,51,232,0,0,0.42
P0125,DigiTools Toys #125,Toys,DigiTools,33.36,3.9,55,534,0,0,0.61
P0126,GlowUp Clothing #126,Clothing,GlowUp,55.14,4.8,179,442,25,0,0.64
P0127,PetLife Food & Grocery #127,Food & Grocery,PetLife,8.56,2.5,412,984,10,0,0.15
P0128,WorkSmart Electronics #128,Electronics,WorkSmart,89.44,4.4,139,617,0,0,1.83
P0129,SoundWave Electronics #129,Electronics,SoundWave,153.69,4.5,173,982,0,0,1.31
P0130,ShineOn Home & Garden #130,Home & Garden,ShineOn,62.28,2.9,444,918,10,0,4.41
P0131,SoundWave Books #131,Books,SoundWave,6.76,3.9,282,91,30,0,0.27
P0132,PlayTime Automotive #132,Automotive,PlayTime,55.74,3.5,459,266,0,0,0.36
P0133,WellBeing Beauty #133,Beauty,WellBeing,56.81,3.7,204,47,0,0,2.55
P0134,FitGear Pet Supplies #134,Pet Supplies,FitGear,23.77,4.5,261,640,20,0,0.3
P0135,FreshMarket Software #135,Software,FreshMarket,184.99,3.2,304,808,20,0,0.95
P0136,PureBrand Jewelry #136,Jewelry,PureBrand,110.43,3.8,398,914,0,0,0.78
P0137,HomeEssentials Pet Supplies #137,Pet Supplies,HomeEssentials,22.39,3.1,263,642,0,0,4.62
P0138,EcoLiving Office Supplies #138,Office Supplies,EcoLiving,12.58,4.0,203,237,0,0,0.95
P0139,UrbanStyle Software #139,Software,UrbanStyle,27.83,4.1,479,625,0,0,0.94
P0140,PetLife Books #140,Books,PetLife,15.96,2.8,157,259,0,0,1.24
P0141,AutoParts Health #141,Health,AutoParts,27.14,3.5,478,699,0,0,0.42
P0142,NovaTech Music #142,Music,NovaTech,15.12,3.6,347,37,0,0,0.6
P0143,EcoLiving Jewelry #143,Jewelry,EcoLiving,97.51,4.1,85,31,0,0,0.33
P0144,NovaTech Sports #144,Sports,NovaTech,35.09,4.6,337,612,0,0,1.91
P0145,AutoParts Electronics #145,Electronics,AutoParts,303.85,3.2,446,410,40,0,1.99
P0146,DigiTools Music #146,Music,DigiTools,20.43,3.5,66,137,0,0,0.43
P0147,ShineOn Jewelry #147,Jewelry,ShineOn,66.23,5.0,219,479,10,0,0.77
P0148,EcoLiving Automotive #148,Automotive,EcoLiving,88.88,4.6,442,622,0,0,1.17
P0149,PureBrand Jewelry #149,Jewelry,PureBrand,28.36,3.0,234,658,30,0,0.25
P0150,WellBeing Office Supplies #150,Office Supplies,WellBeing,24.06,3.7,269,32,0,1,1.7
P0151,StyleMax Office Supplies #151,Office Supplies,StyleMax,23.86,4.1,369,580,0,0,0.34
P0152,WellBeing Books #152,Books,WellBeing,5.32,4.5,33,76,0,0,0.18
P0153,GlowUp Health #153,Health,GlowUp,13.73,4.1,253,755,0,0,1.06
P0154,FitGear Jewelry #154,Jewelry,FitGear,76.48,4.3,17,722,0,0,1.83
P0155,GlowUp Pet Supplies #155,Pet Supplies,GlowUp,18.09,4.1,359,542,0,0,2.45
P0156,UrbanStyle Electronics #156,Electronics,UrbanStyle,193.36,4.0,263,809,0,0,1.58
P0157,ClassicCo Electronics #157,Electronics,ClassicCo,204.42,2.7,209,632,0,0,0.51
P0158,PlayTime Jewelry #158,Jewelry,PlayTime,192.56,3.6,205,596,0,0,6.35
P0159,HomeEssentials Books #159,Books,HomeEssentials,12.48,4.8,361,5,50,0,1.07
P0160,SoundWave Automotive #160,Automotive,SoundWave,107.91,4.7,403,190,0,0,0.4
P0161,UrbanStyle Software #161,Software,UrbanStyle,39.32,3.8,245,636,20,0,2.63
P0162,PureBrand Food & Grocery #162,Food & Grocery,PureBrand,14.51,3.6,418,946,0,0,1.34
P0163,HomeEssentials Sports #163,Sports,HomeEssentials,40.44,3.2,55,511,0,0,7.63
P0164,SoundWave Software #164,Software,SoundWave,25.76,3.1,402,991,0,0,4.7
P0165,PureBrand Clothing #165,Clothing,PureBrand,32.93,4.6,299,413,0,0,0.67
P0166,UrbanStyle Food & Grocery #166,Food & Grocery,UrbanStyle,14.44,3.5,96,133,0,0,0.29
P0167,HomeEssentials Health #167,Health,HomeEssentials,19.5,4.0,337,696,5,0,0.61
P0168,StyleMax Electronics #168,Electronics,StyleMax,206.95,5.0,348,718,0,0,0.1
P0169,TechPro Beauty #169,Beauty,TechPro,35.03,3.9,123,2,20,1,1.04
P0170,SoundWave Clothing #170,Clothing,SoundWave,52.98,3.4,483,879,30,0,2.67
P0171,NovaTech Jewelry #171,Jewelry,NovaTech,129.62,4.7,333,769,0,0,1.02
P0172,SoundWave Toys #172,Toys,SoundWave,68.73,4.9,75,589,0,0,1.61
P0173,NovaTech Office Supplies #173,Office Supplies,NovaTech,10.52,2.2,497,886,0,0,2.16
P0174,ReadMore Software #174,Software,ReadMore,41.11,4.8,404,727,25,0,4.45
P0175,AutoParts Software #175,Software,AutoParts,48.31,3.1,241,113,25,0,1.18
P0176,TechPro Electronics #176,Electronics,TechPro,154.57,5.0,446,660,0,1,0.8
P0177,ShineOn Health #177,Health,ShineOn,62.45,5.0,156,354,10,0,0.57
P0178,NovaTech Electronics #178,Electronics,NovaTech,370.61,4.1,100,985,0,0,4.97
P0179,ReadMore Automotive #179,Automotive,ReadMore,243.69,3.3,85,868,0,0,0.55
P0180,PureBrand Software #180,Software,PureBrand,46.35,4.7,350,710,0,0,6.37
P0181,PureBrand Food & Grocery #181,Food & Grocery,PureBrand,6.72,4.1,98,62,40,0,0.72
P0182,EcoLiving Automotive #182,Automotive,EcoLiving,70.97,3.4,111,908,0,0,0.43
P0183,UrbanStyle Electronics #183,Electronics,UrbanStyle,122.74,4.4,113,227,0,0,1.53
P0184,StyleMax Electronics #184,Electronics,StyleMax,301.53,3.1,308,789,10,0,1.28
P0185,ClassicCo Electronics #185,Electronics,ClassicCo,290.35,4.2,180,805,0,0,0.19
P0186,PlayTime Automotive #186,Automotive,PlayTime,117.15,4.2,215,496,15,0,2.01
P0187,UrbanStyle Pet Supplies #187,Pet Supplies,UrbanStyle,70.8,4.4,12,357,0,0,0.16
P0188,DigiTools Office Supplies #188,Office Supplies,DigiTools,20.08,4.8,219,206,0,0,6.13
P0189,PetLife Pet Supplies #189,Pet Supplies,PetLife,18.07,3.4,238,338,10,0,0.24
P0190,ClassicCo Home & Garden #190,Home & Garden,ClassicCo,58.5,3.5,63,75,0,0,1.34
P0191,PlayTime Books #191,Books,PlayTime,9.2,3.8,443,398,50,0,1.72
P0192,HomeEssentials Clothing #192,Clothing,HomeEssentials,31.78,4.5,479,417,0,0,2.62
P0193,PureBrand Office Supplies #193,Office Supplies,PureBrand,20.08,3.6,233,967,0,0,0.24
P0194,NovaTech Beauty #194,Beauty,NovaTech,38.3,2.5,13,457,0,0,1.69
P0195,FreshMarket Sports #195,Sports,FreshMarket,32.87,3.6,254,57,0,1,0.34
P0196,EcoLiving Automotive #196,Automotive,EcoLiving,41.38,3.9,38,145,0,0,1.28
P0197,PureBrand Pet Supplies #197,Pet Supplies,PureBrand,35.62,3.2,285,367,0,1,0.14
P0198,FitGear Food & Grocery #198,Food & Grocery,FitGear,7.72,1.9,113,301,0,0,1.69
P0199,FitGear Jewelry #199,Jewelry,FitGear,96.71,4.2,487,361,0,0,3.7
P0200,ClassicCo Jewelry #200,Jewelry,ClassicCo,159.01,3.0,252,445,5,0,0.75
P0201,PetLife Toys #201,Toys,PetLife,37.39,4.6,145,979,0,0,1.1
P0202,TechPro Books #202,Books,TechPro,20.12,5.0,317,47,0,0,1.86
P0203,PetLife Health #203,Health,PetLife,60.17,3.3,479,287,0,0,1.4
P0204,HomeEssentials Office Supplies #204,Office Supplies,HomeEssentials,22.48,4.1,109,328,0,0,0.2
P0205,GlowUp Beauty #205,Beauty,GlowUp,17.21,4.0,381,944,0,0,0.3
P0206,PureBrand Music #206,Music,PureBrand,61.45,2.8,459,642,0,0,0.67
P0207,GlowUp Food & Grocery #207,Food & Grocery,GlowUp,14.95,1.9,221,403,15,1,1.12
P0208,PlayTime Home & Garden #208,Home & Garden,PlayTime,75.93,2.9,464,34,0,0,0.62
P0209,EcoLiving Pet Supplies #209,Pet Supplies,EcoLiving,27.23,3.6,421,456,0,0,1.1
P0210,AutoParts Toys #210,Toys,AutoParts,10.65,5.0,259,862,0,0,2.74
P0211,PlayTime Clothing #211,Clothing,PlayTime,29.04,4.3,477,676,15,0,0.7
P0212,NovaTech Automotive #212,Automotive,NovaTech,181.22,3.3,88,926,5,0,0.33
P0213,SoundWave Electronics #213,Electronics,SoundWave,76.22,3.3,469,480,0,1,1.65
P0214,WorkSmart Health #214,Health,WorkSmart,32.94,3.3,153,282,0,0,3.41
P0215,WellBeing Automotive #215,Automotive,WellBeing,91.39,2.5,225,216,0,0,1.33
P0216,StyleMax Health #216,Health,StyleMax,29.32,3.1,149,608,0,0,0.63
P0217,ReadMore Pet Supplies #217,Pet Supplies,ReadMore,68.63,4.4,454,839,0,0,0.84
P0218,NovaTech Electronics #218,Electronics,NovaTech,92.55,3.8,143,578,5,0,0.62
P0219,GlowUp Automotive #219,Automotive,GlowUp,55.53,3.7,351,282,0,0,1.34
P0220,EcoLiving Automotive #220,Automotive,EcoLiving,93.84,4.7,263,617,0,0,0.12
P0221,PlayTime Home & Garden #221,Home & Garden,PlayTime,73.06,3.1,38,857,0,1,1.1
P0222,PlayTime Software #222,Software,PlayTime,52.5,4.3,382,595,0,0,0.84
P0223,GlowUp Food & Grocery #223,Food & Grocery,GlowUp,13.72,2.9,18,968,0,0,2.46
P0224,StyleMax Health #224,Health,StyleMax,25.41,4.5,90,262,0,0,0.24
P0225,HomeEssentials Toys #225,Toys,HomeEssentials,21.06,3.9,199,533,25,0,0.32
P0226,TechPro Automotive #226,Automotive,TechPro,47.27,3.9,218,239,0,0,1.42
P0227,TechPro Software #227,Software,TechPro,60.95,3.9,322,174,0,0,3.68
P0228,EcoLiving Electronics #228,Electronics,EcoLiving,85.26,4.4,30,116,5,0,0.87
P0229,EcoLiving Health #229,Health,EcoLiving,17.65,3.1,447,162,20,0,0.79
P0230,PlayTime Pet Supplies #230,Pet Supplies,PlayTime,38.73,4.6,23,319,0,0,0.46
P0231,GlowUp Food & Grocery #231,Food & Grocery,GlowUp,8.92,3.6,18,851,0,0,1.04
P0232,FreshMarket Jewelry #232,Jewelry,FreshMarket,300.23,4.4,369,197,15,1,0.38
P0233,ClassicCo Beauty #233,Beauty,ClassicCo,23.76,4.3,135,283,0,0,0.27
P0234,EcoLiving Jewelry #234,Jewelry,EcoLiving,71.49,3.4,123,731,30,0,1.72
P0235,TechPro Beauty #235,Beauty,TechPro,57.91,4.4,373,494,0,0,0.42
P0236,EcoLiving Office Supplies #236,Office Supplies,EcoLiving,32.6,3.2,302,653,0,1,1.95
P0237,EcoLiving Home & Garden #237,Home & Garden,EcoLiving,54.38,2.7,181,784,0,0,0.94
P0238,WorkSmart Clothing #238,Clothing,WorkSmart,42.95,4.0,157,461,0,0,2.66
P0239,GlowUp Health #239,Health,GlowUp,57.82,5.0,301,55,0,0,0.34
P0240,DigiTools Sports #240,Sports,DigiTools,55.29,3.5,430,465,0,0,2.22
P0241,SoundWave Office Supplies #241,Office Supplies,SoundWave,16.92,4.2,199,433,0,0,1.01
P0242,ShineOn Sports #242,Sports,ShineOn,45.59,4.5,215,941,5,0,0.23
P0243,SoundWave Clothing #243,Clothing,SoundWave,120.62,3.1,103,670,0,0,0.49
P0244,StyleMax Health #244,Health,StyleMax,29.94,3.3,265,618,0,0,0.5
P0245,FitGear Toys #245,Toys,FitGear,21.35,4.8,30,574,0,0,1.48
P0246,DigiTools Music #246,Music,DigiTools,17.63,4.3,406,382,0,0,0.39
P0247,FitGear Pet Supplies #247,Pet Supplies,FitGear,25.77,3.9,268,406,0,1,0.29
P0248,StyleMax Software #248,Software,StyleMax,34.52,2.5,144,231,0,0,0.67
P0249,ClassicCo Home & Garden #249,Home & Garden,ClassicCo,133.31,3.5,92,352,10,0,2.52
P0250,DigiTools Beauty #250,Beauty,DigiTools,24.99,4.2,132,726,0,0,1.13
P0251,FitGear Pet Supplies #251,Pet Supplies,FitGear,32.15,1.3,34,79,0,0,0.75
P0252,NovaTech Books #252,Books,NovaTech,34.15,4.4,477,543,30,1,1.8
P0253,HomeEssentials Toys #253,Toys,HomeEssentials,21.21,4.7,154,605,0,0,0.38
P0254,ShineOn Clothing #254,Clothing,ShineOn,55.16,5.0,461,144,0,0,5.98
P0255,SoundWave Clothing #255,Clothing,SoundWave,24.47,4.8,463,58,0,0,5.27
P0256,WorkSmart Books #256,Books,WorkSmart,10.23,4.1,7,430,30,0,0.62
P0257,FitGear Software #257,Software,FitGear,53.97,4.6,280,521,0,0,1.09
P0258,TechPro Electronics #258,Electronics,TechPro,165.02,3.7,396,188,30,0,0.89
P0259,DigiTools Home & Garden #259,Home & Garden,DigiTools,88.17,3.6,119,133,0,0,0.59
P0260,ClassicCo Toys #260,Toys,ClassicCo,19.5,4.2,489,297,50,0,2.47
P0261,AutoParts Electronics #261,Electronics,AutoParts,177.15,3.3,309,39,40,0,0.23
P0262,PlayTime Home & Garden #262,Home & Garden,PlayTime,44.34,3.5,392,619,0,0,0.68
P0263,FreshMarket Food & Grocery #263,Food & Grocery,FreshMarket,21.12,5.0,385,487,0,1,1.64
P0264,EcoLiving Music #264,Music,EcoLiving,16.47,3.2,70,587,0,0,4.66
P0265,StyleMax Home & Garden #265,Home & Garden,StyleMax,43.86,4.0,425,305,0,0,3.83
P0266,PureBrand Books #266,Books,PureBrand,9.8,2.5,60,599,0,1,0.49
P0267,GlowUp Electronics #267,Electronics,GlowUp,117.13,3.3,495,488,0,0,0.45
P0268,PureBrand Home & Garden #268,Home & Garden,PureBrand,85.43,3.3,314,958,0,0,0.64
P0269,GlowUp Health #269,Health,GlowUp,33.89,3.7,308,163,20,0,4.09
P0270,WorkSmart Clothing #270,Clothing,WorkSmart,197.49,3.3,475,447,0,0,1.47
P0271,DigiTools Clothing #271,Clothing,DigiTools,34.52,3.6,216,966,0,0,16.86
P0272,FitGear Home & Garden #272,Home & Garden,FitGear,27.83,3.4,249,944,0,0,1.84
P0273,WellBeing Software #273,Software,WellBeing,45.27,3.6,339,13,0,0,5.27
P0274,FreshMarket Software #274,Software,FreshMarket,156.04,2.7,111,340,0,0,0.89
P0275,NovaTech Jewelry #275,Jewelry,NovaTech,107.96,2.7,55,135,0,0,0.43
P0276,GlowUp Home & Garden #276,Home & Garden,GlowUp,57.96,4.6,490,688,15,0,10.81
P0277,StyleMax Music #277,Music,StyleMax,13.88,3.3,368,711,15,0,0.26
P0278,UrbanStyle Jewelry #278,Jewelry,UrbanStyle,76.87,4.2,285,563,0,0,1.29
P0279,WellBeing Health #279,Health,WellBeing,63.97,4.3,139,930,5,0,1.1
P0280,ReadMore Health #280,Health,ReadMore,23.11,3.9,399,32,0,0,0.54
P0281,FitGear Office Supplies #281,Office Supplies,FitGear,20.35,2.7,333,45,0,0,1.4
P0282,HomeEssentials Sports #282,Sports,HomeEssentials,53.92,2.3,215,932,0,0,0.84
P0283,AutoParts Health #283,Health,AutoParts,35.25,3.5,232,22,10,0,0.41
P0284,ReadMore Sports #284,Sports,ReadMore,42.91,3.8,473,962,20,0,0.27
P0285,ReadMore Office Supplies #285,Office Supplies,ReadMore,9.7,4.9,126,558,0,0,1.52
P0286,ReadMore Health #286,Health,ReadMore,39.05,5.0,37,630,30,0,0.45
P0287,PlayTime Jewelry #287,Jewelry,PlayTime,78.58,4.3,384,440,0,0,0.58
P0288,AutoParts Software #288,Software,AutoParts,92.7,3.9,112,632,0,0,0.43
P0289,SoundWave Home & Garden #289,Home & Garden,SoundWave,55.16,3.9,438,204,0,0,0.44
