review_id,customer_id,product_id,review_date,rating,review_text,helpful_votes,verified_purchase
R02895,C05423,P0351,2023-01-03,4,Perfect. Will buy again.,31,1
R12221,C04705,P0185,2023-01-03,4,"Excellent quality, fast shipping.",46,1
R18068,C01176,P0106,2023-01-03,4,"Excellent quality, fast shipping.",11,1
R09788,C01709,P0367,2023-01-03,3,"Average quality, meets expectations.",15,1
R03842,C01672,P0910,2023-01-03,2,Broke after a week of use.,13,1
R10858,C05224,P0406,2023-01-03,3,"Average quality, meets expectations.",19,1
R04993,C05520,P0647,2023-01-03,3,"Average quality, meets expectations.",41,1
R06725,C02312,P0093,2023-01-03,4,"Excellent quality, fast shipping.",23,1
R16313,C00216,P0025,2023-01-03,5,Perfect. Will buy again.,47,1
R03784,C06044,P0294,2023-01-03,5,Amazing value for the price.,6,0
R11882,C06820,P0382,2023-01-03,5,Amazing value for the price.,47,1
R24717,C01800,P0860,2023-01-03,5,Amazing value for the price.,30,1
R05087,C01289,P0496,2023-01-03,2,Not as described. Returning it.,2,1
R14903,C03398,P0006,2023-01-03,3,"It is okay, nothing special.",23,1
R17207,C00428,P0240,2023-01-04,2,Not as described. Returning it.,38,1
R14980,C06174,P0289,2023-01-04,3,"It is okay, nothing special.",42,1
R06204,C03873,P0790,2023-01-04,4,Amazing value for the price.,32,0
R18046,C03502,P0964,2023-01-04,1,Would not recommend. Poor value.,48,1
R18072,C03129,P0660,2023-01-04,5,Perfect. Will buy again.,20,1
R21510,C04158,P0813,2023-01-04,3,"Not bad, not great.",7,1
R24067,C04655,P0520,2023-01-04,5,Love it! Exactly what I needed.,3,1
R03640,C04197,P0124,2023-01-04,4,Love it! Exactly what I needed.,27,1
R07205,C08260,P0213,2023-01-04,2,Not as described. Returning it.,38,1
R00632,C01011,P0917,2023-01-04,5,Amazing value for the price.,31,1
R22462,C05169,P0655,2023-01-04,3,Fine for basic use.,38,1
R10029,C07758,P0321,2023-01-04,4,"Excellent quality, fast shipping.",21,0
R20241,C08604,P0476,2023-01-04,2,Would not recommend. Poor value.,47,0
R19057,C03437,P0423,2023-01-04,3,Decent product for the price.,6,1
R24228,C08139,P0142,2023-01-04,2,Disappointed with the quality.,12,1
R22856,C04110,P0680,2023-01-04,4,Perfect. Will buy again.,3,1
R06131,C07969,P0565,2023-01-04,5,"Excellent quality, fast shipping.",38,1
R00940,C07331,P0157,2023-01-04,2,Broke after a week of use.,17,1
R24172,C09318,P0326,2023-01-04,4,Great product! Highly recommend.,15,0
R02686,C06902,P0285,2023-01-04,4,Amazing value for the price.,1,1
R23547,C07934,P0934,2023-01-04,4,Great product! Highly recommend.,35,1
R16122,C06068,P0120,2023-01-05,2,Disappointed with the quality.,19,0
R14440,C07483,P0668,2023-01-05,3,Decent product for the price.,6,0
R17763,C03088,P0779,2023-01-05,1,Terrible experience. Avoid.,30,1
R16121,C06072,P0669,2023-01-05,3,"It is okay, nothing special.",7,0
R20609,C01439,P0141,2023-01-05,3,Fine for basic use.,46,1
R08078,C09522,P0557,2023-01-05,4,Perfect. Will buy again.,29,1
R21920,C04471,P0616,2023-01-05,5,Great product! Highly recommend.,20,1
R20139,C00945,P0978,2023-01-05,4,Perfect. Will buy again.,48,0
R11437,C02658,P0144,2023-01-05,3,"Not bad, not great.",37,1
R13526,C07098,P0995,2023-01-05,4,Love it! Exactly what I needed.,21,1
R20531,C08288,P0748,2023-01-05,2,Disappointed with the quality.,3,1
R21791,C09563,P0014,2023-01-05,3,"It is okay, nothing special.",18,1
R12156,C09056,P0783,2023-01-05,1,Would not recommend. Poor value.,44,1
R16220,C06056,P0132,2023-01-05,4,Perfect. Will buy again.,9,1
R13778,C08038,P0706,2023-01-05,2,Disappointed with the quality.,9,1
R18798,C06604,P0786,2023-01-05,4,Love it! Exactly what I needed.,28,1
R15276,C09353,P0315,2023-01-05,2,Disappointed with the quality.,8,1
R12284,C01528,P0092,2023-01-05,2,Would not recommend. Poor value.,39,1
R10694,C09583,P0339,2023-01-05,3,Fine for basic use.,15,1
R24047,C07686,P0406,2023-01-05,3,Fine for basic use.,36,1
R07518,C02293,P0594,2023-01-05,5,Amazing value for the price.,12,1
R03515,C00599,P0506,2023-01-05,4,"Excellent quality, fast shipping.",49,1
R05306,C01429,P0089,2023-01-05,3,"Not bad, not great.",31,1
R10642,C02293,P0281,2023-01-05,4,Perfect. Will buy again.,31,1
R04928,C03954,P0898,2023-01-05,2,Disappointed with the quality.,14,1
R05023,C07356,P0319,2023-01-05,3,Decent product for the price.,47,0
R23020,C04707,P0587,2023-01-05,4,Love it! Exactly what I needed.,40,0
R18123,C05734,P0669,2023-01-05,1,Not as described. Returning it.,7,1
R01467,C00656,P0166,2023-01-05,3,"Not bad, not great.",49,0
R24313,C04851,P0342,2023-01-05,3,Decent product for the price.,46,1
R09828,C07662,P0958,2023-01-05,3,"Average quality, meets expectations.",12,1
R14255,C02388,P0872,2023-01-05,5,Great product! Highly recommend.,9,1
R12330,C04382,P0336,2023-01-05,3,Decent product for the price.,45,0
R08401,C02945,P0235,2023-01-05,5,"Excellent quality, fast shipping.",34,1
R18215,C00170,P0517,2023-01-05,5,Great product! Highly recommend.,13,1
R06477,C04965,P0051,2023-01-05,4,Amazing value for the price.,42,1
R10130,C07287,P0893,2023-01-05,3,"Not bad, not great.",19,0
R02896,C00088,P0987,2023-01-05,3,"Not bad, not great.",24,1
R13561,C01998,P0412,2023-01-05,2,Disappointed with the quality.,1,1
R16040,C03911,P0154,2023-01-05,4,Perfect. Will buy again.,33,1
R16161,C07531,P0935,2023-01-05,3,"Not bad, not great.",47,1
R08141,C01410,P0544,2023-01-05,2,Disappointed with the quality.,8,1
R08791,C01869,P0397,2023-01-06,4,Love it! Exactly what I needed.,40,1
R17621,C09038,P0497,2023-01-06,3,"It is okay, nothing special.",2,1
R17497,C09311,P0852,2023-01-06,4,"Excellent quality, fast shipping.",6,1
R07655,C03752,P0177,2023-01-06,4,Love it! Exactly what I needed.,41,1
R14509,C09837,P0306,2023-01-06,5,Great product! Highly recommend.,25,0
R10678,C06483,P0880,2023-01-06,5,"Excellent quality, fast shipping.",28,1
R04957,C02860,P0893,2023-01-06,5,Perfect. Will buy again.,30,0
R24286,C03959,P0407,2023-01-06,3,Decent product for the price.,20,1
R21681,C01423,P0909,2023-01-06,4,"Excellent quality, fast shipping.",32,0
R19958,C00334,P0186,2023-01-06,5,Perfect. Will buy again.,3,1
R05708,C06735,P0532,2023-01-06,2,Would not recommend. Poor value.,7,1
R17705,C09357,P0722,2023-01-06,4,Perfect. Will buy again.,13,1
R02251,C06828,P0670,2023-01-06,3,Decent product for the price.,8,1
R08596,C07346,P0752,2023-01-06,2,Terrible experience. Avoid.,29,1
R24785,C08955,P0329,2023-01-06,4,Love it! Exactly what I needed.,35,0
R05339,C05861,P0351,2023-01-06,3,Fine for basic use.,33,1
R21448,C09223,P0101,2023-01-06,5,Love it! Exactly what I needed.,49,1
R18106,C03627,P0433,2023-01-06,4,"Excellent quality, fast shipping.",48,0
R08939,C01450,P0463,2023-01-06,3,"Average quality, meets expectations.",13,1
R11642,C00033,P0000,2023-01-06,3,"Average quality, meets expectations.",16,1
R14033,C09589,P0554,2023-01-06,5,Amazing value for the price.,10,0
R22885,C09528,P0688,2023-01-06,5,"Excellent quality, fast shipping.",43,1
R01221,C09056,P0686,2023-01-06,4,Love it! Exactly what I needed.,35,1
R10147,C02157,P0344,2023-01-06,3,Decent product for the price.,34,1
R03027,C06084,P0787,2023-01-06,2,Terrible experience. Avoid.,38,1
R21256,C02963,P0012,2023-01-06,1,Disappointed with the quality.,38,1
R15278,C01240,P0180,2023-01-06,3,Decent product for the price.,46,1
R21427,C03555,P0562,2023-01-06,4,Love it! Exactly what I needed.,35,1
R11681,C08493,P0575,2023-01-06,1,Broke after a week of use.,35,0
R22857,C07035,P0012,2023-01-07,1,Broke after a week of use.,24,1
R24081,C02222,P0841,2023-01-07,5,Great product! Highly recommend.,29,1
R06937,C03452,P0385,2023-01-07,4,Amazing value for the price.,10,1
R00162,C05571,P0378,2023-01-07,5,Great product! Highly recommend.,17,1
R10896,C06698,P0177,2023-01-07,5,Love it! Exactly what I needed.,49,1
R01669,C04046,P0908,2023-01-07,4,Great product! Highly recommend.,13,1
R13485,C06607,P0737,2023-01-07,4,Great product! Highly recommend.,19,1
R17474,C07269,P0020,2023-01-07,5,Amazing value for the price.,31,1
R06897,C09696,P0194,2023-01-07,2,Would not recommend. Poor value.,2,1
R09702,C00863,P0307,2023-01-07,4,Great product! Highly recommend.,6,1
R19497,C07502,P0136,2023-01-07,5,Perfect. Will buy again.,13,1
R09006,C06932,P0846,2023-01-07,5,Perfect. Will buy again.,25,1
R00268,C02834,P0636,2023-01-07,3,Fine for basic use.,19,1
R19835,C02405,P0369,2023-01-07,4,Amazing value for the price.,48,1
R09116,C09305,P0130,2023-01-07,4,Love it! Exactly what I needed.,32,1
R10181,C08685,P0141,2023-01-07,3,"Not bad, not great.",24,1
R08628,C06029,P0585,2023-01-07,2,Broke after a week of use.,21,1
R22762,C07134,P0463,2023-01-07,3,"Average quality, meets expectations.",13,1
R03878,C06188,P0774,2023-01-07,4,Amazing value for the price.,31,1
R04600,C01696,P0864,2023-01-07,4,"Excellent quality, fast shipping.",29,1
R21322,C01068,P0347,2023-01-07,5,Amazing value for the price.,2,1
R02129,C00836,P0159,2023-01-07,4,Perfect. Will buy again.,23,1
R14197,C02195,P0590,2023-01-07,3,Fine for basic use.,2,0
R16251,C05628,P0626,2023-01-07,3,Decent product for the price.,27,1
R15494,C06646,P0730,2023-01-07,4,Amazing value for the price.,27,1
R16127,C09957,P0177,2023-01-07,5,Amazing value for the price.,41,1
R22206,C07919,P0770,2023-01-07,3,Fine for basic use.,16,0
R06238,C00731,P0807,2023-01-07,1,Terrible experience. Avoid.,6,1
R06519,C06630,P0164,2023-01-07,2,Not as described. Returning it.,27,1
R00167,C07824,P0403,2023-01-07,4,Perfect. Will buy again.,33,1
R05958,C07386,P0606,2023-01-07,3,Fine for basic use.,9,1
R22897,C08661,P0344,2023-01-08,5,Amazing value for the price.,16,1
R23157,C05174,P0856,2023-01-08,3,Fine for basic use.,48,1
R09662,C02339,P0385,2023-01-08,2,Would not recommend. Poor value.,48,1
R13349,C01344,P0759,2023-01-08,5,Perfect. Will buy again.,9,1
R09811,C00213,P0695,2023-01-08,4,Amazing value for the price.,17,1
R04129,C09693,P0055,2023-01-08,2,Broke after a week of use.,7,1
R24841,C09783,P0852,2023-01-08,3,"Average quality, meets expectations.",48,1
R06932,C08519,P0358,2023-01-08,4,Amazing value for the price.,44,1
R02824,C04171,P0980,2023-01-08,2,Disappointed with the quality.,47,1
R06602,C02865,P0529,2023-01-08,1,Would not recommend. Poor value.,39,1
R02252,C05788,P0885,2023-01-08,2,Broke after a week of use.,40,0
R17452,C05171,P0930,2023-01-08,4,Love it! Exactly what I needed.,23,1
R18423,C03470,P0986,2023-01-08,1,Terrible experience. Avoid.,2,0
R11848,C04215,P0285,2023-01-08,4,Great product! Highly recommend.,23,1
R18787,C05939,P0565,2023-01-08,5,"Excellent quality, fast shipping.",32,1
R01777,C01526,P0398,2023-01-08,3,"It is okay, nothing special.",22,1
R02677,C00704,P0486,2023-01-08,4,Perfect. Will buy again.,3,0
R03910,C01889,P0248,2023-01-08,2,Would not recommend. Poor value.,25,1
R03540,C07773,P0045,2023-01-08,3,Decent product for the price.,1,1
R11318,C05978,P0721,2023-01-08,3,Fine for basic use.,35,1
R08166,C05549,P0623,2023-01-08,5,Great product! Highly recommend.,8,0
R05125,C03337,P0852,2023-01-08,2,Would not recommend. Poor value.,13,0
R24822,C02794,P0787,2023-01-08,2,Not as described. Returning it.,24,1
R14320,C06746,P0467,2023-01-08,3,Fine for basic use.,23,1
R07472,C06117,P0309,2023-01-08,3,Fine for basic use.,34,1
R19255,C03461,P0404,2023-01-08,3,Decent product for the price.,10,1
R16766,C03353,P0431,2023-01-08,3,"Average quality, meets expectations.",16,1
R08746,C08767,P0895,2023-01-08,4,Amazing value for the price.,28,1
R10278,C01038,P0233,2023-01-08,3,Fine for basic use.,17,1
R03951,C08662,P0637,2023-01-08,2,Broke after a week of use.,44,1
R19705,C00696,P0565,2023-01-08,3,Decent product for the price.,39,1
R14298,C09493,P0143,2023-01-09,4,Perfect. Will buy again.,31,1
R21632,C09952,P0278,2023-01-09,5,Love it! Exactly what I needed.,4,1
R19303,C00086,P0530,2023-01-09,3,"Average quality, meets expectations.",32,1
R24153,C00507,P0725,2023-01-09,3,"Not bad, not great.",21,1
R21539,C07337,P0392,2023-01-09,2,Not as described. Returning it.,17,1
R24847,C04001,P0384,2023-01-09,5,Great product! Highly recommend.,16,1
R01009,C00521,P0780,2023-01-09,3,Fine for basic use.,15,0
R13041,C05830,P0507,2023-01-09,4,Great product! Highly recommend.,43,1
R11669,C01181,P0730,2023-01-09,4,Amazing value for the price.,10,1
R10125,C02894,P0752,2023-01-09,1,Not as described. Returning it.,10,1
R12634,C08731,P0720,2023-01-09,2,Broke after a week of use.,22,1
R23458,C09607,P0352,2023-01-09,4,"Excellent quality, fast shipping.",49,1
R20690,C01061,P0864,2023-01-09,4,Great product! Highly recommend.,0,1
R00339,C09807,P0207,2023-01-09,2,Disappointed with the quality.,40,0
R15868,C08022,P0383,2023-01-09,4,Great product! Highly recommend.,28,1
R20053,C05637,P0059,2023-01-09,3,"Average quality, meets expectations.",20,1
R04237,C07411,P0760,2023-01-09,3,Decent product for the price.,1,1
R24914,C00919,P0316,2023-01-09,4,Love it! Exactly what I needed.,31,1
R06976,C05458,P0805,2023-01-09,4,Amazing value for the price.,37,1
R12280,C01345,P0227,2023-01-09,4,Love it! Exactly what I needed.,32,1
R06684,C01366,P0458,2023-01-09,5,Perfect. Will buy again.,6,1
R02913,C06778,P0479,2023-01-09,3,Decent product for the price.,18,0
R24012,C05682,P0167,2023-01-09,4,Great product! Highly recommend.,46,1
R15295,C01914,P0029,2023-01-09,3,Decent product for the price.,29,1
R17350,C07006,P0289,2023-01-09,3,Decent product for the price.,29,1
R05283,C06431,P0291,2023-01-09,3,Fine for basic use.,17,1
R01301,C05142,P0594,2023-01-09,5,Great product! Highly recommend.,47,1
R24116,C06330,P0860,2023-01-09,3,"It is okay, nothing special.",17,0
R17161,C02126,P0803,2023-01-09,3,"It is okay, nothing special.",18,1
R15324,C08042,P0844,2023-01-09,5,Great product! Highly recommend.,34,1
R21366,C05139,P0395,2023-01-09,5,Perfect. Will buy again.,18,1
R15881,C08563,P0345,2023-01-09,4,Love it! Exactly what I needed.,37,1
R00398,C09537,P0691,2023-01-09,3,Decent product for the price.,4,1
R19747,C06282,P0292,2023-01-09,3,Fine for basic use.,31,0
R20711,C04855,P0294,2023-01-09,3,"Not bad, not great.",13,0
R19882,C03335,P0745,2023-01-09,4,Love it! Exactly what I needed.,25,1
R15308,C01184,P0106,2023-01-09,5,"Excellent quality, fast shipping.",13,0
R07148,C00601,P0736,2023-01-09,3,"Not bad, not great.",36,1
R15333,C06409,P0690,2023-01-09,3,Fine for basic use.,9,1
R16037,C06783,P0172,2023-01-10,4,Perfect. Will buy again.,14,1
R14794,C06875,P0589,2023-01-10,3,Fine for basic use.,27,1
R14762,C00970,P0944,2023-01-10,2,Broke after a week of use.,6,0
R18677,C06428,P0273,2023-01-10,2,Disappointed with the quality.,36,1
R12265,C02545,P0974,2023-01-10,5,Love it! Exactly what I needed.,7,1
R11406,C00510,P0673,2023-01-10,2,Not as described. Returning it.,8,1
R14449,C03450,P0281,2023-01-10,3,"It is okay, nothing special.",11,0
R01785,C01401,P0015,2023-01-10,4,Love it! Exactly what I needed.,4,1
R18187,C06185,P0819,2023-01-10,3,Decent product for the price.,23,1
R16248,C05479,P0223,2023-01-10,3,Fine for basic use.,1,1
R08562,C05478,P0954,2023-01-10,5,Love it! Exactly what I needed.,33,0
R09222,C03716,P0546,2023-01-10,3,Fine for basic use.,42,1
R19390,C03464,P0571,2023-01-10,2,Disappointed with the quality.,31,0
R06307,C00686,P0156,2023-01-10,4,Perfect. Will buy again.,40,0
R17453,C08010,P0720,2023-01-10,1,Disappointed with the quality.,31,1
R11837,C02747,P0226,2023-01-10,3,"Not bad, not great.",9,1
R05613,C00436,P0478,2023-01-10,2,Terrible experience. Avoid.,14,1
R00923,C06188,P0673,2023-01-10,2,Not as described. Returning it.,29,1
R20406,C04122,P0165,2023-01-10,4,"Excellent quality, fast shipping.",8,0
R19014,C05648,P0832,2023-01-10,3,"Average quality, meets expectations.",9,1
R07186,C02894,P0206,2023-01-10,2,Broke after a week of use.,42,0
R16986,C04152,P0348,2023-01-10,4,Love it! Exactly what I needed.,28,1
R01479,C08587,P0143,2023-01-10,4,Love it! Exactly what I needed.,13,1
R07131,C08082,P0081,2023-01-10,3,"Not bad, not great.",7,1
R15299,C09850,P0816,2023-01-10,2,Would not recommend. Poor value.,7,1
R20279,C06689,P0932,2023-01-10,5,Love it! Exactly what I needed.,40,1
R00063,C07774,P0291,2023-01-10,3,"It is okay, nothing special.",32,1
R18137,C06461,P0455,2023-01-10,4,Great product! Highly recommend.,28,1
R05504,C04313,P0885,2023-01-10,2,Terrible experience. Avoid.,37,1
R15435,C02521,P0536,2023-01-10,4,Perfect. Will buy again.,9,0
R17587,C07432,P0534,2023-01-10,1,Broke after a week of use.,2,1
R20552,C02173,P0963,2023-01-10,4,Amazing value for the price.,24,0
R00724,C01880,P0921,2023-01-10,2,Broke after a week of use.,45,1
R03442,C04808,P0641,2023-01-10,4,Perfect. Will buy again.,46,1
R09872,C00806,P0502,2023-01-10,5,"Excellent quality, fast shipping.",37,1
R03463,C08926,P0171,2023-01-10,4,Perfect. Will buy again.,12,1
R02104,C08854,P0517,2023-01-10,4,Amazing value for the price.,28,1
R21127,C04508,P0667,2023-01-10,3,Fine for basic use.,49,0
R22387,C06356,P0722,2023-01-11,5,Amazing value for the price.,34,1
R06680,C06104,P0561,2023-01-11,3,"It is okay, nothing special.",30,0
R23314,C01717,P0616,2023-01-11,3,Decent product for the price.,28,0
R09572,C02085,P0072,2023-01-11,4,Great product! Highly recommend.,24,1
R04058,C08970,P0365,2023-01-11,2,Terrible experience. Avoid.,35,0
R01541,C06858,P0216,2023-01-11,2,Would not recommend. Poor value.,49,1
R24133,C00537,P0000,2023-01-11,3,"It is okay, nothing special.",42,1
R20001,C05515,P0608,2023-01-11,3,"It is okay, nothing special.",3,1
R15937,C04422,P0053,2023-01-11,4,Great product! Highly recommend.,47,1
R12048,C09733,P0111,2023-01-11,4,Perfect. Will buy again.,24,1
R03097,C03998,P0269,2023-01-11,3,"Not bad, not great.",14,1
R01179,C06303,P0244,2023-01-11,2,Not as described. Returning it.,49,1
R08265,C09573,P0489,2023-01-11,5,Perfect. Will buy again.,32,1
R18715,C04823,P0482,2023-01-11,4,Great product! Highly recommend.,25,1
R18014,C00081,P0277,2023-01-11,2,Broke after a week of use.,6,1
R14683,C00599,P0469,2023-01-11,4,Amazing value for the price.,0,1
R17062,C03641,P0337,2023-01-11,2,Disappointed with the quality.,24,1
R23420,C06759,P0570,2023-01-11,4,Love it! Exactly what I needed.,43,0
R15470,C06660,P0601,2023-01-11,4,Perfect. Will buy again.,19,1
R09881,C03288,P0432,2023-01-11,3,Fine for basic use.,26,1
R00663,C01577,P0636,2023-01-11,4,Amazing value for the price.,24,1
R16763,C06355,P0760,2023-01-11,3,"It is okay, nothing special.",17,1
R05741,C07178,P0348,2023-01-11,3,"Average quality, meets expectations.",34,0
R07699,C04422,P0598,2023-01-11,1,Would not recommend. Poor value.,14,1
R17320,C07481,P0529,2023-01-11,2,Terrible experience. Avoid.,3,1
R22226,C01700,P0926,2023-01-11,3,"It is okay, nothing special.",8,1
R06329,C07772,P0606,2023-01-11,4,Amazing value for the price.,47,1
R01728,C04669,P0949,2023-01-11,2,Terrible experience. Avoid.,25,1
R04104,C07057,P0200,2023-01-11,2,Terrible experience. Avoid.,13,0
R05608,C00734,P0644,2023-01-11,5,"Excellent quality, fast shipping.",7,1
R14311,C03487,P0535,2023-01-11,5,"Excellent quality, fast shipping.",43,0
R10464,C01811,P0474,2023-01-11,4,Great product! Highly recommend.,43,1
R20904,C05122,P0777,2023-01-11,2,Would not recommend. Poor value.,24,0
R19363,C00556,P0002,2023-01-11,4,Love it! Exactly what I needed.,22,1
R16201,C00199,P0781,2023-01-11,3,Decent product for the price.,33,1
R18197,C00560,P0374,2023-01-12,4,Perfect. Will buy again.,31,0
R17026,C03414,P0890,2023-01-12,3,Decent product for the price.,26,1
R06919,C02971,P0339,2023-01-12,3,"It is okay, nothing special.",24,1
R19633,C04951,P0334,2023-01-12,3,"It is okay, nothing special.",28,0
R19406,C03009,P0998,2023-01-12,5,"Excellent quality, fast shipping.",42,0
R01808,C09782,P0692,2023-01-12,1,Would not recommend. Poor value.,15,1
R09568,C01046,P0368,2023-01-12,5,Great product! Highly recommend.,40,1
R01446,C02228,P0262,2023-01-12,1,Disappointed with the quality.,15,1
R04842,C04683,P0545,2023-01-12,3,"Average quality, meets expectations.",31,1
R12287,C09525,P0286,2023-01-12,5,Love it! Exactly what I needed.,48,1
R11722,C09782,P0057,2023-01-12,4,Great product! Highly recommend.,2,1
R00365,C00386,P0052,2023-01-12,5,Great product! Highly recommend.,9,1
R06863,C01788,P0219,2023-01-12,4,Great product! Highly recommend.,15,1
R04555,C02514,P0840,2023-01-12,4,Perfect. Will buy again.,44,0
R20689,C01105,P0808,2023-01-12,4,Love it! Exactly what I needed.,16,1
R08292,C00883,P0807,2023-01-12,2,Would not recommend. Poor value.,0,1
R01302,C03709,P0483,2023-01-12,3,"Not bad, not great.",20,1
R01285,C09186,P0810,2023-01-12,3,"It is okay, nothing special.",12,1
R09791,C01958,P0205,2023-01-12,4,Amazing value for the price.,17,1
R01913,C01511,P0162,2023-01-12,3,"It is okay, nothing special.",27,1
R17082,C05658,P0285,2023-01-12,5,Amazing value for the price.,1,1
R03375,C05016,P0675,2023-01-12,4,Great product! Highly recommend.,5,0
R01017,C07116,P0213,2023-01-12,4,Love it! Exactly what I needed.,29,1
R02574,C06492,P0775,2023-01-12,2,Terrible experience. Avoid.,2,1
R10274,C05697,P0293,2023-01-12,3,Fine for basic use.,34,1
